,countries,cost_living_index,year
0,bermuda,146.2,2017
1,switzerland,122.1,2017
2,iceland,111.7,2017
3,norway,106.3,2017
4,bahamas,104.0,2017
5,us virgin islands,85.9,2017
6,japan,85.3,2017
7,italy,83.7,2017
8,denmark,83.0,2017
9,singapore,82.4,2017
10,new zealand,80.8,2017
11,australia,80.7,2017
12,hong kong,80.0,2017
13,israel,77.7,2017
14,luxembourg,77.3,2017
15,ireland,77.0,2017
16,sweden,75.9,2017
17,united states,75.4,2017
18,south korea,75.4,2017
19,belgium,75.4,2017
20,kuwait,75.2,2017
21,france,74.9,2017
22,finland,73.1,2017
23,netherlands,72.5,2017
24,austria,71.5,2017
25,uruguay,70.3,2017
26,canada,70.2,2017
27,puerto rico,69.6,2017
28,united kingdom,69.5,2017
29,qatar,69.2,2017
30,united arab emirates,68.0,2017
31,germany,65.5,2017
32,malta,62.8,2017
33,macao,62.6,2017
34,lebanon,61.7,2017
35,taiwan,61.4,2017
36,ghana,60.5,2017
37,jordan,59.2,2017
38,costa rica,58.6,2017
39,bahrain,57.8,2017
40,jamaica,56.9,2017
41,panama,56.9,2017
42,trinidad and tobago,56.2,2017
43,greece,55.9,2017
44,belize,55.8,2017
45,mongolia,55.6,2017
46,spain,55.0,2017
47,cyprus,54.1,2017
48,palestine,53.5,2017
49,slovenia,53.2,2017
50,fiji,53.1,2017
51,brazil,53.1,2017
52,oman,52.6,2017
53,argentina,52.6,2017
54,dominican republic,52.1,2017
55,zimbabwe,51.6,2017
56,mauritius,50.4,2017
57,chile,50.1,2017
58,estonia,49.5,2017
59,portugal,49.2,2017
60,tanzania,48.5,2017
61,saudi arabia,48.4,2017
62,croatia,48.0,2017
63,latvia,47.8,2017
64,honduras,47.4,2017
65,iraq,47.0,2017
66,cambodia,46.8,2017
67,lithuania,46.7,2017
68,namibia,46.5,2017
69,ecuador,46.1,2017
70,guatemala,46.0,2017
71,el salvador,45.9,2017
72,libya,45.8,2017
73,ethiopia,45.7,2017
74,slovakia,44.9,2017
75,china,44.8,2017
76,zambia,44.7,2017
77,thailand,43.7,2017
78,south africa,43.1,2017
79,hungary,42.8,2017
80,russia,42.0,2017
81,czech republic,41.2,2017
82,indonesia,41.1,2017
83,malaysia,40.2,2017
84,vietnam,40.1,2017
85,peru,39.5,2017
86,montenegro,39.3,2017
87,kenya,39.0,2017
88,bolivia,38.7,2017
89,turkey,38.6,2017
90,venezuela,38.3,2017
91,iran,38.3,2017
92,poland,38.1,2017
93,nigeria,36.8,2017
94,bulgaria,36.5,2017
95,bangladesh,36.1,2017
96,romania,35.6,2017
97,morocco,35.5,2017
98,bosnia and herzegovina,35.0,2017
99,philippines,34.7,2017
100,colombia,34.4,2017
101,uganda,34.1,2017
102,armenia,33.9,2017
103,belarus,33.8,2017
104,serbia,33.8,2017
105,sri lanka,33.5,2017
106,albania,32.4,2017
107,algeria,32.4,2017
108,north macedonia,30.9,2017
109,kazakhstan,30.7,2017
110,nepal,30.0,2017
111,mexico,29.8,2017
112,tunisia,28.7,2017
113,moldova,28.4,2017
114,syria,28.3,2017
115,azerbaijan,27.8,2017
116,georgia,27.4,2017
117,pakistan,27.2,2017
118,ukraine,26.2,2017
119,india,25.1,2017
120,egypt,22.4,2017
121,bermuda,144.9,2018
122,switzerland,131.4,2018
123,iceland,124.0,2018
124,norway,113.7,2018
125,bahamas,100.7,2018
126,luxembourg,96.6,2018
127,denmark,93.3,2018
128,singapore,91.4,2018
129,japan,86.6,2018
130,israel,86.5,2018
131,ireland,85.4,2018
132,australia,84.3,2018
133,france,83.9,2018
134,sweden,83.7,2018
135,new zealand,83.4,2018
136,belgium,83.3,2018
137,south korea,82.9,2018
138,netherlands,82.7,2018
139,finland,81.7,2018
140,austria,81.5,2018
141,italy,79.1,2018
142,hong kong,78.7,2018
143,united kingdom,75.8,2018
144,germany,74.3,2018
145,united states,73.0,2018
146,canada,72.5,2018
147,malta,70.9,2018
148,united arab emirates,67.2,2018
149,puerto rico,67.0,2018
150,uruguay,66.9,2018
151,taiwan,65.4,2018
152,qatar,65.4,2018
153,greece,63.2,2018
154,spain,61.8,2018
155,jamaica,60.6,2018
156,cyprus,60.3,2018
157,lebanon,60.2,2018
158,ghana,59.8,2018
159,slovenia,59.6,2018
160,bahrain,59.6,2018
161,palestine,58.2,2018
162,estonia,57.6,2018
163,kuwait,56.9,2018
164,costa rica,56.2,2018
165,portugal,55.9,2018
166,chile,55.2,2018
167,jordan,55.1,2018
168,croatia,55.1,2018
169,mauritius,55.0,2018
170,trinidad and tobago,54.6,2018
171,argentina,53.7,2018
172,latvia,53.4,2018
173,lithuania,53.2,2018
174,panama,52.4,2018
175,brazil,51.3,2018
176,slovakia,50.4,2018
177,czech republic,50.1,2018
178,zimbabwe,49.5,2018
179,oman,49.3,2018
180,thailand,48.9,2018
181,hungary,48.6,2018
182,south africa,48.1,2018
183,dominican republic,47.9,2018
184,el salvador,47.9,2018
185,saudi arabia,47.9,2018
186,ethiopia,47.5,2018
187,guatemala,46.9,2018
188,zambia,46.5,2018
189,cambodia,45.9,2018
190,poland,45.2,2018
191,tanzania,45.0,2018
192,malaysia,44.7,2018
193,china,44.6,2018
194,montenegro,44.4,2018
195,ecuador,44.3,2018
196,honduras,44.3,2018
197,russia,43.9,2018
198,iraq,43.9,2018
199,turkey,41.8,2018
200,bulgaria,41.2,2018
201,indonesia,39.7,2018
202,romania,39.7,2018
203,peru,39.6,2018
204,serbia,39.6,2018
205,vietnam,39.4,2018
206,bosnia and herzegovina,39.3,2018
207,kenya,38.7,2018
208,albania,37.9,2018
209,morocco,37.1,2018
210,bolivia,36.5,2018
211,philippines,36.0,2018
212,colombia,35.3,2018
213,north macedonia,34.8,2018
214,nigeria,34.7,2018
215,iran,34.6,2018
216,sri lanka,34.3,2018
217,kazakhstan,34.3,2018
218,belarus,34.1,2018
219,mexico,33.6,2018
220,armenia,33.5,2018
221,moldova,33.1,2018
222,uganda,32.7,2018
223,nepal,32.6,2018
224,venezuela,32.2,2018
225,algeria,32.1,2018
226,bangladesh,32.0,2018
227,azerbaijan,30.6,2018
228,georgia,29.7,2018
229,kosovo (disputed territory),29.4,2018
230,syria,27.8,2018
231,tunisia,27.7,2018
232,india,26.9,2018
233,ukraine,26.0,2018
234,egypt,25.7,2018
235,pakistan,25.1,2018
236,switzerland,121.2,2019
237,iceland,101.9,2019
238,norway,101.0,2019
239,bahamas,92.4,2019
240,luxembourg,86.1,2019
241,japan,83.3,2019
242,denmark,81.4,2019
243,hong kong,78.1,2019
244,south korea,76.9,2019
245,ireland,75.3,2019
246,france,74.9,2019
247,netherlands,74.8,2019
248,israel,74.3,2019
249,belgium,73.0,2019
250,finland,72.8,2019
251,new zealand,72.6,2019
252,australia,72.1,2019
253,austria,71.8,2019
254,sweden,71.6,2019
255,united states,69.9,2019
256,singapore,69.8,2019
257,italy,69.2,2019
258,germany,67.6,2019
259,united kingdom,65.3,2019
260,canada,65.0,2019
261,puerto rico,63.8,2019
262,malta,63.3,2019
263,taiwan,59.8,2019
264,qatar,59.1,2019
265,jamaica,58.8,2019
266,lebanon,58.1,2019
267,uruguay,57.3,2019
268,bahrain,56.7,2019
269,greece,56.7,2019
270,united arab emirates,56.2,2019
