,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
0,spain,2017,393181.0,202478.0,190703.0,841.0,1.31,-1.92
1,germany,2017,784901.0,402517.0,382384.0,950.0,1.57,-1.88
2,united_kingdom,2017,754754.0,387030.0,367724.0,1140.0,1.74,-2.79
3,france,2017,770045.0,394058.0,375987.0,1150.0,1.89,-1.56
4,italy,2017,458151.0,235733.0,222418.0,760.0,1.32,-1.49
5,portugal,2017,86154.0,44072.0,42082.0,840.0,1.38,1.47
6,usa,2017,,,,1180.0,1.77,-3.02
7,japan,2017,,,,760.0,1.43,-0.69
8,china,2017,,,,1264.0,1.68,0.48
9,andorra,2016,634.0,364.0,373.0,880.0,1.27,6.72
10,united_arab_emirates,2017,,,,1046.0,1.45,-2.88
11,afghanistan,2017,,,,3321.0,4.63,-3.48
12,antigua_barbuda,2017,,,,1553.0,2.0,-0.2
13,albanian,2017,30869.0,16208.0,14661.0,1070.0,1.48,-3.9
14,armenia,2017,37700.0,19731.0,17969.0,1270.0,1.56,-3.7
15,angola,2017,,,,4128.0,5.6,-1.51
16,argentina,2017,,,,1721.0,2.28,-0.57
17,austria,2017,87633.0,45253.0,42380.0,1000.0,1.52,-0.65
18,australia,2017,,,,1260.0,1.74,-0.63
19,azerbaijan,2017,144041.0,76584.0,67457.0,1460.0,1.75,-7.89
20,bosnia_herzegovina,2017,29158.0,16790.0,15757.0,830.0,1.28,-0.78
21,barbados,2017,,,,1068.0,1.62,0.12
22,bangladesh,2017,,,,1850.0,2.06,-1.34
23,belgium,2017,119690.0,61179.0,58511.0,1050.0,1.65,-1.79
24,burkina_faso,2017,,,,3842.0,5.27,-1.53
25,bulgaria,2017,63955.0,32787.0,31168.0,900.0,1.56,1.3
26,bahrain,2017,,,,1437.0,2.01,-1.13
27,burundi,2017,,,,3965.0,5.5,-1.73
28,benin,2017,,,,3662.0,4.91,-1.43
29,brunei,2017,,,,1538.0,1.88,-1.78
30,bolivian,2017,,,,2208.0,2.78,-1.84
31,brazil,2017,,,,1413.0,1.74,-0.46
32,bahamas,2017,,,,1405.0,1.76,-0.51
33,bhutan,2017,,,,1746.0,1.99,-0.99
34,botswana,2017,,,,2540.0,2.91,-1.09
35,belarus,2017,102556.0,52712.0,49844.0,1080.0,1.54,-10.98
36,belize,2017,,,,2108.0,2.35,-1.88
37,canada,2017,388729.0,199381.0,189348.0,1030.0,1.54,-3.14
38,democratic_republic_of_congo,2017,,,,4173.0,6.02,-1.55
39,central_african_republic,2017,,,,3566.0,4.8,-1.52
40,republic_of_congo,2017,,,,3338.0,4.48,-1.19
41,swiss,2017,87381.0,44873.0,42508.0,1030.0,1.52,-1.3
42,ivory_coast,2017,,,,3599.0,4.7,-1.16
43,chili,2017,,,,1271.0,1.68,-2.04
44,cameroon,2017,,,,3590.0,4.64,-1.47
45,colombia,2017,649742.0,333299.0,316443.0,1510.0,1.83,-0.98
46,costa_rica,2017,,,,1425.0,1.77,-0.95
47,cuba,2017,,,,1039.0,1.64,-1.15
48,cape_verde,2017,,,,1992.0,2.31,-1.58
49,cyprus,2017,9229.0,4765.0,4464.0,1070.0,1.32,-3.65
50,czech_republic,2017,114405.0,58671.0,55734.0,1080.0,1.69,3.68
51,djibouti,2017,,,,2194.0,2.79,-2.14
52,denmark,2017,61397.0,31467.0,29930.0,1060.0,1.75,-2.23
53,dominica,2017,,,,960.0,1.9,0.0
54,dominican_republic,2017,,,,1980.0,2.37,-0.84
55,algeria,2017,,,,2485.0,3.05,-0.23
56,ecuador,2017,,,,1997.0,2.45,-0.97
57,estonia,2017,13784.0,7191.0,6593.0,1050.0,1.59,-0.63
58,egypt,2017,,,,2705.0,3.37,-1.17
59,eritrea,2017,,,,3090.0,4.11,-1.25
60,ethiopia,2017,,,,3278.0,4.35,-2.38
61,finland,2017,50321.0,25674.0,24647.0,910.0,1.49,-5.1
62,fiji,2017,,,,2156.0,2.79,-0.32
63,federated_states_of_micronesia,2017,,,,2294.0,3.1,-1.49
64,gabon,2017,,,,3216.0,4.01,-0.77
65,grenade,2017,,,,1670.0,2.08,-1.0
66,georgia,2017,53293.0,27658.0,25635.0,1430.0,2.14,-4.04
67,ghana,2017,,,,2984.0,3.93,-1.46
68,gambia,2017,,,,3897.0,5.28,-1.07
69,guinea,2017,,,,3677.0,4.78,-1.59
70,equatorial_guinea,2017,,,,3373.0,4.6,-1.86
71,greece,2017,88553.0,45686.0,42867.0,820.0,1.35,-2.17
72,guatemala,2017,,,,2491.0,2.92,-1.78
73,guinea-bissau,2017,,,,3570.0,4.55,-1.68
74,guyana,2017,,,,2020.0,2.49,-0.96
75,hong_kong,2017,,,,770.0,1.13,-6.64
76,honduras,2017,,,,2186.0,2.5,-1.58
77,croatia,2017,36556.0,18845.0,17711.0,890.0,1.42,0.0
78,haiti,2017,,,,2475.0,2.99,-1.81
79,hungary,2017,94646.0,48591.0,46055.0,970.0,1.54,0.65
80,indonesia,2017,,,,1842.0,2.34,-1.1
81,ireland,2017,61824.0,31779.0,30045.0,1290.0,1.77,-2.21
82,israel,2017,,,,2110.0,3.11,0.0
83,india,2017,,,,1808.0,2.24,-1.02
84,iraq,2017,,,,2969.0,3.76,-2.64
85,iran,2017,,,,1901.0,2.12,1.58
86,iceland,2017,4071.0,2112.0,1959.0,1190.0,1.71,-1.72
87,jamaica,2017,,,,1629.0,1.99,-0.8
88,jordan,2017,,,,2262.0,2.85,-3.55
89,kenya,2017,,,,2930.0,3.57,-2.48
90,kyrgyzstan,2017,,,,2480.0,3.0,-3.23
91,cambodia,2017,,,,2289.0,2.53,-1.13
92,kiribati,2017,,,,2829.0,3.61,-1.12
93,comoros,2017,,,,3237.0,4.28,-1.66
94,saint_kitts_nevis,2014,,,,1260.0,2.11,-12.21
95,north_korea,2017,,,,1391.0,1.91,-0.31
96,south_korea,2017,357771.0,,,700.0,1.05,-10.24
97,kuwait,2017,,,,1465.0,2.08,0.05
98,kazakhstan,2017,,,,2164.0,2.75,-0.72
99,laos,2017,,,,2396.0,2.71,-1.53
100,lebanon,2017,,,,1767.0,2.1,-0.33
101,st._lucia,2017,,,,1214.0,1.45,-0.89
102,liechtenstein,2017,338.0,176.0,162.0,890.0,1.44,-10.56
103,sri_lanka,2017,,,,1611.0,2.21,-0.23
104,liberia,2017,,,,3343.0,4.39,-1.66
105,lesotho,2017,,,,2717.0,3.17,-0.81
106,lithuania,2017,28696.0,14775.0,13921.0,1010.0,1.63,-3.55
107,luxembourg,2017,6174.0,3171.0,3003.0,1040.0,1.39,-1.42
108,latvia,2017,20828.0,10797.0,10031.0,1070.0,1.69,-2.87
109,libya,2017,,,,1938.0,2.28,-1.73
110,morocco,2017,,,,1940.0,2.45,-1.53
111,monaco,2016,295.0,,,462.0,432.0,7.8
112,moldova,2017,36640.0,19304.0,18090.0,1330.0,1.26,0.0
113,montenegro,2017,7432.0,3873.0,3559.0,1190.0,1.78,-0.56
114,madagascar,2017,,,,3290.0,4.13,-1.29
115,marshall_islands,2011,,,,2900.0,4.05,-10.0
116,north_macedonia,2017,21754.0,11160.0,10594.0,1050.0,1.43,-4.67
117,mali,2017,,,,4208.0,5.97,-1.47
118,myanmar,2017,,,,1770.0,2.17,-0.64
119,mongolia,2017,,,,2483.0,2.91,-0.31
120,mauritania,2017,,,,3413.0,4.62,-1.28
121,malt,2017,4319.0,2215.0,2104.0,920.0,1.26,-8.03
122,mauricio,2017,,,,1070.0,1.44,2.86
123,maldives,2017,,,,1489.0,1.91,-2.11
124,malawi,2017,,,,3459.0,4.3,-2.38
125,mexico,2017,2234039.0,1134349.0,1099674.0,1792.0,2.16,-1.33
126,malaysia,2017,,,,1687.0,2.02,-0.88
127,mozambique,2017,,,,3788.0,4.92,-1.4
128,namibia,2017,,,,2911.0,3.45,-1.4
129,niger,2017,,,,4654.0,7.0,-1.21
130,nigeria,2017,,,,3838.0,5.46,-1.25
131,nicaragua,2017,,,,2106.0,2.43,-1.02
132,netherlands,2017,169836.0,87159.0,82677.0,990.0,1.62,-2.41
133,norway,2017,56633.0,29173.0,27460.0,1070.0,1.62,-5.26
134,nepal,2017,,,,2020.0,1.97,-2.96
135,new_zealand,2017,,,,1238.0,1.81,-3.21
136,oman,2017,,,,1979.0,2.92,-0.58
137,panama,2017,,,,1926.0,2.49,-1.07
138,peru,2017,610316.0,,,1970.0,2.28,-0.96
139,papua_new_guinea,2017,,,,2736.0,3.61,-1.29
140,philippines,2017,,,,2104.0,2.64,-2.87
141,pakistan,2017,,,,2860.0,3.56,-1.38
142,poland,2017,401982.0,206410.0,195572.0,1060.0,1.48,6.47
143,state_of_palestine,2017,,,,2991.0,3.74,-2.76
144,palau,2017,,,,1240.0,2.21,-0.9
145,paraguayan,2017,,,,2079.0,2.45,-1.05
146,taste,2017,,,,970.0,1.89,-1.1
147,romania,2017,210590.0,108146.0,102444.0,1080.0,1.78,5.33
148,serbian,2017,64894.0,33321.0,31573.0,920.0,1.49,2.05
149,russia,2017,1940579.0,984552.0,928920.0,1150.0,1.62,-8.0
150,rwanda,2017,,,,3206.0,4.09,-0.85
151,saudi_arabia,2017,,,,1832.0,2.37,-2.55
152,solomon_islands,2017,,,,3288.0,4.43,-0.4
153,seychelles,2017,,,,1720.0,2.41,0.84
154,sudan,2017,,,,3254.0,4.47,-1.39
155,sweden,2017,115416.0,59256.0,56160.0,1150.0,1.78,-3.78
156,singapore,2017,,,,890.0,1.16,-3.33
157,slovenia,2017,20241.0,10483.0,9758.0,980.0,1.62,2.53
158,slovakia,2017,57969.0,29773.0,28196.0,1070.0,1.52,2.7
159,sierra_leone,2017,,,,3394.0,4.36,-2.2
160,san_marino,2017,228.0,121.0,107.0,670.0,1.26,
161,senegal,2017,,,,3512.0,4.7,-1.53
162,somalia,2017,,,,4192.0,6.17,-1.55
163,surinam,2017,,,,1879.0,2.44,-1.05
164,south_sudan,2017,,,,3537.0,4.78,-1.65
165,sao_tome_principe,2017,,,,3197.0,4.37,-1.17
166,the_savior,2017,,,,1843.0,2.06,-0.96
167,syria,2017,,,,2412.0,2.85,-1.45
168,swatini,2017,,,,2677.0,3.02,-0.76
169,chad,2017,,,,4268.0,5.85,-1.7
170,togo,2017,,,,3355.0,4.38,-1.46
171,thailand,2017,,,,1051.0,1.53,-0.33
172,tajikistan,2017,,,,3136.0,3.61,-0.33
173,east_timor,2017,,,,2945.0,4.09,-1.52
174,turkmenistan,2017,,,,2462.0,2.84,-1.77
175,tunisia,2017,,,,1801.0,2.22,-0.85
176,tonga,2017,,,,2463.0,3.6,-1.13
177,turkiye,2017,1291055.0,662928.0,628127.0,1610.0,2.07,-1.9
178,trinidad_tobago,2017,,,,1330.0,1.74,-0.8
179,tanzania,2017,,,,3708.0,4.95,-1.24
180,ukraine,2017,363987.0,187528.0,176459.0,860.0,1.26,-6.67
181,uganda,2017,,,,3895.0,5.1,-2.8
182,uruguay,2017,48200.0,,,1396.0,1.98,-0.4
183,uzbekistan,2017,,,,2210.0,2.42,-1.47
184,saint_vincent_the_grenadines,2017,,,,1440.0,1.91,-1.04
185,venezuela,2017,615132.0,316884.0,298248.0,1823.0,2.29,-0.99
186,vietnam,2017,,,,1698.0,2.04,0.59
187,vanuatu,2017,,,,3002.0,3.82,-1.01
188,samoa,2017,,,,2469.0,3.93,-1.26
189,yemen,2017,,,,3104.0,3.89,-2.6
190,south_africa,2017,,,,2091.0,2.43,-1.1
191,zambia,2017,,,,3670.0,4.72,-1.99
192,zimbabwe,2017,,,,3173.0,3.71,-2.55
193,spain,2018,372777.0,191569.0,181208.0,7.94,1.26,-3.67
194,germany,2018,787523.0,404052.0,383471.0,9.5,1.57,0.0
195,united_kingdom,2018,730918.0,375379.0,355539.0,11.0,1.68,-3.45
196,france,2018,759199.0,388944.0,370255.0,11.3,1.87,-1.06
197,italy,2018,439747.0,226217.0,213530.0,7.3,1.29,-2.27
198,portugal,2018,87020.0,44309.0,42711.0,8.5,1.42,2.9
199,usa,2018,,,,11.6,1.73,-2.04
200,japan,2018,,,,7.4,1.42,-0.7
201,china,2018,,,,10.86,1.69,0.42
202,andorra,2018,543.0,293.0,250.0,7.2,1.27,6.72
203,united_arab_emirates,2018,,,,10.33,1.41,-2.42
204,afghanistan,2018,,,,32.49,4.47,-3.45
205,antigua_barbuda,2018,,,,15.33,1.99,-0.25
206,albanian,2018,28934.0,15025.0,13909.0,10.1,1.37,-7.43
207,armenia,2018,36574.0,19252.0,17322.0,12.3,1.57,0.64
208,angola,2018,,,,40.73,5.52,-1.45
209,argentina,2018,,,,17.02,2.26,-0.62
210,austria,2018,85535.0,43796.0,41739.0,9.7,1.47,-3.29
211,australia,2018,,,,12.6,1.74,-0.06
212,azerbaijan,2018,138982.0,74224.0,64758.0,14.0,1.73,-1.14
213,bosnia_herzegovina,2018,29467.0,16790.0,15757.0,8.4,1.27,-0.86
214,barbados,2018,,,,10.65,1.62,0.25
215,bangladesh,2018,,,,18.18,2.04,-1.26
216,belgium,2018,118319.0,60398.0,57921.0,10.4,1.62,-1.82
217,burkina_faso,2018,,,,37.93,5.19,-1.56
218,bulgaria,2018,62197.0,32144.0,30053.0,8.9,1.56,0.0
219,bahrain,2018,,,,13.99,1.99,-1.14
220,burundi,2018,,,,39.01,5.41,-1.67
221,benin,2018,,,,36.22,4.84,-1.43
222,brunei,2018,,,,14.9,1.85,-1.75
223,bolivian,2018,,,,21.75,2.73,-1.69
224,brazil,2018,,,,13.92,1.73,-0.52
225,bahamas,2018,,,,13.97,1.75,-0.57
226,bhutan,2018,,,,17.26,1.98,-0.95
227,botswana,2018,,,,24.82,2.87,-1.24
228,belarus,2018,94042.0,48240.0,45802.0,9.9,1.45,-5.84
229,belize,2018,,,,20.79,2.31,-1.66
230,canada,2018,388729.0,199381.0,189348.0,10.1,1.5,-2.6
